id;segment;delivery_type;logistic_status;push_title;push_subtitle;email_subject;email_snippet;email_title;email_body;email_button
67;C2C;rDBS;Performed;Авито Доставка;Заказ в*рассрочку в*пути. Примерный срок доставки*— до*1*июня;Заказ в пути;Его доставят до*1*июня;Заказ в*пути;Его доставят 1*июня. Когда продавец укажет, что вручил посылку, подтвердите это на*странице заказа.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
68;C2C;rDBS;Rejected;Авито Доставка;Продавец*отменил заказ*— рассрочка тоже автоматически отменилась;Продавец отменил заказ;Рассрочка отменилась вместе с*заказом;Продавец отменил заказ;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
69;C2C;rDBS;Received;Авито Доставка;Подтвердите получение, если заказ в*рассрочку уже у*вас;Подтвердите получение;Если заказ доставили;Подтвердите получение;Продавец указал, что посылка доставлена. Если она у*вас, откройте страницу заказа и*нажмите «Заказ у*меня»*— мы*напишем продавцу, что всё хорошо и*можно принимать оплату.\n\nЕсли посылки*нет или с*ней что то не*так, нажмите «Заказ не*доставили» и*напишите продавцу.\n\n13*апреля заказ закроется автоматически.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
70;C2C;rDBS;Accepted;Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по рассрочке;Поздравляем с*покупкой*🎉;Напишите, как всё прошло, — оставьте продавцу отзыв.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.\n\nОзнакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
71;C2C;rDBS;Название статуса не было указано;Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по рассрочке;Поздравляем с*покупкой*🎉;Продавец получит оплату*🍰\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.\n\nОзнакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для*вас сюрпризом.;На страницу заказа
72;C2C;rDBS;Canceled;Авито Доставка;Вы*отменили заказ*— вместе с*ним отменилась рассрочка;Вы*отменили заказ;Рассрочка отменилась вместе с*ним;Вы*отменили заказ;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
73;C2C;rDBS;Cancelled by logistician;Авито Доставка;Заказ в*рассрочку отменён*— вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Всё хорошо, заказ отменён;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
74;C2C;rDBS;Accepted by logistician;Авито Доставка;Заказ закрыт*— проверьте график платежей по*рассрочке;Заказ закрыт;Проверьте график платежей по рассрочке;Заказ закрыт;К сожалению, отменить оплату не*получится*😔 Мы*изучили проблему и*приняли решение перевести деньги продавцу.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.\n\nОзнакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для*вас сюрпризом.;На страницу заказа
75;C2C;rDBS;Canceled by stocks;Авито Доставка;Заказ пришлось отменить: товар закончился. Рассрочка автоматически отменилась;Заказ в рассрочку пришлось отменить;Товар закончился;Заказ пришлось отменить: товар закончился*😔;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
76;C2C;rDBS;Received (Арбитраж «Товар не у меня»);Авито Доставка;Подтвердите получение, если заказ в*рассрочку уже у*вас;Подтвердите получение;Продавец не*передал трек номер;Подтвердите получение;Продавец указал, что посылка доставлена. Если она у*вас, откройте страницу заказа и*нажмите «Заказ у*меня»*— мы*напишем продавцу, что всё хорошо и*можно принимать оплату.\n\nЕсли посылки*нет или с*ней что то не*так, нажмите «Заказ не*доставили» и*напишите продавцу.\n\n13*апреля заказ закроется автоматически.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
77;C2C;rDBS;Accepted by logistician / exaccepted after dispute (Арбитраж «Товар не у меня»);Авито Доставка;Заказ завершён*— проверьте график платежей по*рассрочке;Заказ завершён;Проверьте график платежей по рассрочке;Заказ завершён;Мы*убедились, что продавец доставил посылку и*может получить оплату.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.\n\nОзнакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
78;C2C;rDBS;Canceled review by logistician (Арбитраж «Товар не у меня»);Авито Доставка;Заказ отменён*— вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Всё хорошо, заказ отменён;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
79;C2C;rDBS;Cancel after performed (Арбитраж запроса отмены);;;Вы запросили отмену заказа в рассрочку;Мы узнаем у*продавца, получится*ли это сделать;Вы*запросили отмену заказа;На*всякий случай напишите продавцу в*чате. Если он не*ответит до*14*ноября включительно, к*вопросу подключится поддержка.\n\nЕсли передумаете, откройте страницу заказа и*нажмите «Не*отменять заказ».\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
80;C2C;rDBS;Referee is here (Арбитраж запроса отмены);;;Продавец отклонил отмену заказа в рассрочку;Мы*узнаем, почему так вышло;Изучаем проблему;Продавец отклонил отмену заказа*— мы*узнаем, почему так вышло. Дождитесь нас или обсудите проблему с*продавцом*— возможно, вы*решите её*сами.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
81;C2C;rDBS;Accepted after dispute → confirmed (Арбитраж запроса отмены);;;Не получится отменить заказ в рассрочку;Его доставят 1*июня;Заказ доставят вам;К сожалению, не*получится его отменить. Посылка будет у*вас 1*июня. Если покупку уже привезли, но*статус заказа не*изменился, откройте страницу заказа и*нажмите «Заказ у*меня».\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
82;C2C;rDBS;Accepted after dispute → performed (Арбитраж запроса отмены);;;Не получится отменить заказ в рассрочку;Его доставят 1*июня;Заказ доставят вам;К сожалению, не*получится его отменить. Посылка будет у*вас 1*июня. Если покупку уже привезли, но*статус заказа не*изменился, откройте страницу заказа и*нажмите «Заказ у*меня».\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
83;C2C;rDBS;Accepted after dispute (Арбитраж запроса отмены);;;Заказ отменён;Рассрочка отменилась вместе с ним;Всё хорошо, заказ отменён;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
84;C2C;PwS;Paid;Авито;Заказ в*рассрочку оформлен*— ждём, когда продавец его подготовит;Заказ в рассрочку оформлен;Ждём, когда продавец его подготовит;Заказ в рассрочку оформлен;Ждём, когда продавец его подготовит. Отслеживайте статус и*смотрите подробности о*заказе на*его странице.\n\nТуда*же вынесли все детали по*рассрочке, графику платежей и*погашению*— ознакомьтесь с ними.;На страницу заказа
85;C2C;PwS;Performed;Авито;Заказ в рассрочку готов. Адрес продавца и*код получения*— на*странице заказа;Заказ в*рассрочку готов;Заберите его у*продавца;Заберите заказ в*рассрочку до*1*июня включительно;Адрес продавца и код получения можно узнать на*странице заказа. Туда*же вынесли все детали по*рассрочке, графику платежей и*погашению.;На страницу заказа
86;C2C;PwS;Cancelled;Авито;Вы отменили заказ — вместе с*ним отменилась рассрочка;Вы отменили заказ;Рассрочка отменилась вместе с*ним;Вы*отменили заказ* рассрочка тоже отменилась;Возможно, вам понравится что то другое*— посмотрите, какие товары есть в*продаже.;Посмотреть объявления
87;C2C;PwS;Unperformed;Авито;Заказ отменён — продавец не*успел его подготовить. Рассрочка тоже отменилась;Заказ в рассрочку отменён;Продавец не*успел его подготовить;Заказ пришлось отменить: продавец его*не*подготовил;Рассрочка тоже автоматически отменилась.\n\nПопробуйте подыскать похожий товар у кого то другого.;Посмотреть объявления
88;C2C;PwS;Rejected;Авито;Продавец*отменил заказ*— рассрочка тоже автоматически отменилась;Продавец отменил заказ;Рассрочка отменилась вместе с*заказом;Продавец отменил заказ рассрочка тоже отменилась;Возможно, товар закончился или с ним возникли проблемы.\n\nПопробуйте уточнить причину у продавца или подыскать похожее предложение.;На страницу заказа
89;C2C;PwS;Accepted;Авито;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Это заказ в*рассрочку.\n\nВсе детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
90;B2C;ПВЗ;Paid (Текст отличается от C2C);Авито Доставка;Спасибо, заказ в рассрочку оформлен — ждём, когда его подтвердят;Заказ в рассрочку оформлен;Ждём, когда продавец его подтвердит;Заказ в рассрочку оформлен;Ждём, когда продавец его подтвердит. Отслеживайте статус и*смотрите подробности о*заказе на*его странице.\n\nТуда*же вынесли все детали по*рассрочке, графику платежей и*погашению*— ознакомьтесь с*ними.;На страницу заказа
91;B2C;ПВЗ;Assembled (Уникальный для B2C статус);Авито Доставка;Заказ в*рассрочку собран*— его отправят до*28*ноября;Заказ в*рассрочку собран;Его скоро отправят;Заказ собран;Его отправят до*28*ноября. Отслеживайте статус доставки и*смотрите подробности о*заказе на*его странице.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— также на*странице заказа.;На страницу заказа
92;B2C;ПВЗ;Confirmed;Авито Доставка;Заказ в рассрочку подтверждён. Примерный срок доставки*— до*1*июня;Заказ в рассрочку подтверждён;Примерный срок доставки*— до*1*июня;Заказ подтверждён;Он приедет в*отделение «Почты России» / в*пункт выдачи / в*пункт Boxberry / в*пункт Авито × Exmail: Москва, улица Маршала Катукова,*17к1.\n\nПримерный срок доставки*— до*1*июня.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
93;B2C;ПВЗ;Prolonged;Авито Доставка;Срок доставки изменился. Посылка приедет до*1*июня;Срок доставки изменился;Посылка приедет до*1*июня;Срок доставки изменился;Продавцу нужно ещё немного времени, чтобы отправить заказ. Посылку привезут с*20*мая до*1*июня. Мы*напишем, когда её*можно будет забрать.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
94;B2C;ПВЗ;Performed;Авито Доставка;Заказ в*рассрочку в*пути. Примерный срок доставки*— до*20*мая;Заказ в пути;Его доставят до*20*мая;Заказ в*пути;Примерный срок доставки*— до*20*мая. Вы можете отследить посылку на*cdek.ru.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
95;B2C;ПВЗ;Provided / Delivered;Авито Доставка;Заказ в*рассрочку доставили*— получите его в*пункте выдачи. Возьмите с*собой паспорт;Заказ доставили;Получите его по*паспорту;Заберите заказ до*1*июня включительно;Не*забудьте взять с собой паспорт. Адрес пункта, номер получения и*правила проверки можно узнать на*странице заказа.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
96;B2C;ПВЗ;Accepted (Текст отличается от C2C);Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Заказ завершён. Напишите,*как всё прошло,*— оставьте продавцу отзыв.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
97;B2C;ПВЗ;Received (Текст отличается от C2C);Авито Доставка;Проверьте заказ. Покупку можно проверить и вернуть до*5*декабря;Проверьте заказ;Покупку можно проверить и вернуть до*5*декабря;Проверьте заказ;Если всё хорошо, подтвердите покупку на странице заказа. Если что то будет не*так, верните его до*5 декабря включительно. Главное*— сохранить изначальный вид покупки.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
98;B2C;ПВЗ;Canceled;Авито Доставка;Вы*отменили заказ*— вместе с*ним отменилась рассрочка;Вы*отменили заказ;Рассрочка отменилась вместе с*ним;Вы*отменили заказ;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
99;B2C;ПВЗ;Voided;Авито Доставка;Продавец*отменил заказ*— рассрочка тоже автоматически отменилась;Продавец отменил заказ;Рассрочка отменилась вместе с*заказом;Продавец отменил заказ;Возможно, товар закончился или возникли проблемы с доставкой. Попробуйте уточнить причину у*продавца или*подыскать похожее предложение.\n\nРассрочка автоматически отменилась. Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
100;B2C;ПВЗ;Unperformed / Rejected (Текст отличается от C2C);Авито Доставка;Заказ не*подтверждён: сейчас товара нет в*наличии. Рассрочка отменилась;Заказ не подтвердили;Сейчас товара нет в*наличии;Заказ не*подтвердили: товара нет в*наличии;Рассрочка автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
101;B2C;ПВЗ;Return_performed (Текст отличается от C2C);Авито Доставка;Вы*отказались от*заказа*— рассрочка отменится, когда продавец проверит заказ;Вы отказались от*заказа;Рассрочка отменится, когда продавец проверит заказ;Вы отказались от заказа;Рассрочка отменится, и вам вернутся все платежи, которые успели внести, когда продавец подтвердит, что заказ доехал в изначальном виде.;На страницу заказа
102;B2C;ПВЗ;Order_delivery_date_changed;Авито Доставка;Срок доставки изменился. Посылку привезут до*7 июня;Срок доставки изменился;Посылку привезут до*7*июня;Срок доставки изменился;Заказ привезут до*20*мая. Вы можете отследить его на*cdek.ru.;На страницу заказа
103;B2C;ПВЗ;Order_lost;Авито Доставка;Что то случилось*— заказ не*привезут. Рассрочка автоматически отменилась;Что то случилось* заказ не*доставят;Рассрочка отменилась;Служба доставки не*сможет привезти заказ;К*сожалению, в*пути возникли проблемы. Простите, что так вышло*🙏\n\nРассрочка автоматически отменилась. Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
104;B2C;ПВЗ;Order_unconfirmed / Unconfirmed;Авито Доставка;Не*удалось создать заказ. Попробуйте выбрать другой пункт выдачи. Рассрочка автоматически отменилась;Не*удалось создать заказ;Попробуйте выбрать другой пункт выдачи;Не*удалось создать заказ;Попробуйте выбрать другой пункт выдачи и*оформить доставку ещё раз.\n\nРассрочка автоматически отменилась. Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
105;B2C;ПВЗ;Canceled_by_mo;Авито Доставка;Заказ отменён* из за технического сбоя — вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён;Случился технический сбой. Простите, что так вышло 🙏\n\nРассрочка автоматически отменилась. Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
106;B2C;ПВЗ;Canceled_by_stocks;Авито Доставка;Заказ пришлось отменить: другой покупатель оформил доставку чуть раньше. Рассрочка тоже отменилась;Заказ пришлось отменить;Рассрочка отменилась вместе с*ним;Заказ пришлось отменить: товар закончился*😔;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
107;B2C;ПВЗ;Canceled_by_delivery;Авито Доставка;Не*удалось создать заказ. Попробуйте выбрать другую службу доставки. Рассрочка автоматически отменилась;Заказ пришлось отменить;Рассрочка отменилась вместе с*ним;Не*удалось создать заказ;Попробуйте оформить его ещё раз и*выбрать пункт выдачи другой службы доставки.\n\nРассрочка автоматически отменилась. Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
108;B2C;ПВЗ;Canceled_by_refund;Авито Доставка;Заказ отменён*— вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён: простите, что так вышло*🙏;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
109;B2C;ПВЗ;Dispute;Авито Доставка;Продавец рассмотрит заявку на возврат до*14*ноября включительно;Продавец рассмотрит заявку на возврат;Он должен сделать это до*14*ноября включительно;Продавец рассмотрит заявку на*возврат;Если он не*ответит до*14*ноября включительно, заявка отправится поддержке. Будем держать вас в*курсе.;На страницу заказа
110;B2C;ПВЗ;Return placed;Авито Доставка;Отправьте заказ продавцу*📦 Посмотрите, куда отнести посылку;Отправьте заказ продавцу;Посмотрите, куда его отнести;Отправьте заказ продавцу;Отнесите товар в отделение «Почты России», покажите оригинал паспорта и*назовите номер: 12544551800504.\n\nВы можете сделать это до*31 сентября включительно. Потом заказ закроется*— вернуть его уже не*получится.;На страницу заказа
111;B2C;ПВЗ;Reminder — 2;Авито Доставка;Не забудьте отправить покупку продавцу. 1*октября заказ закроется*— вернуть его уже не*получится;Не забудьте отправить покупку продавцу;1*октября заказ закроется*— вернуть его уже не*получится;Не забудьте отправить покупку продавцу;1*октября заказ закроется*— вернуть его уже не*получится.;На страницу заказа
112;B2C;ПВЗ;Return performed — 2;Авито Доставка;Заказ в*пути. Примерный срок доставки*— до*20 мая;Заказ в*пути;Примерный срок доставки*— до*20*мая;Вы отправили заказ обратно;Примерный срок доставки*— до*20*мая. Когда продавец всё проверит, рассрочка отменится, и вам вернутся все платежи, которые успеете внести.;На страницу заказа
113;B2C;ПВЗ;Returned — 2;Авито Доставка;Продавец принял возврат, заказ закрыт;Заказ закрыт;Рассрочка отменилась;Заказ закрыт;Рассрочка автоматически отменилась.\n\nВам вернутся все платежи, которые успели внести. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
114;B2C;ПВЗ;Return_dispute / Claim;Авито Доставка;Продавец не*принял возврат заказа. Мы*проверим, что случилось;Продавец не*принял возврат заказа;Мы*проверим, что случилось;Продавец не*принял возврат заказа;Мы*проверим, что случилось. Если понадобятся детали, напишем вам в*чате или позвоним.;На страницу заказа
115;B2C;ПВЗ;Returned — 3 / Return_accepted;Авито Доставка;Возврат одобрен — рассрочка автоматически отменилась;Возврат одобрен;Рассрочка отменилась;Возврат одобрен, заказ закрыт;Рассрочка автоматически отменилась.\n\nВам вернутся все платежи, которые успели внести. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
116;B2C;ПВЗ;Return_denied;Авито Доставка;К*сожалению, вернуть заказ продавцу не*получится;Заказ закрыт;К сожалению, отменить рассрочку не*получится;Заказ закрыт;Мы изучили проблему: к*сожалению, отменить рассрочку не*выйдет.\n\nУточните у*продавца, сможет*ли он*отправить заказ обратно. Вы*можете договориться о*том, чтобы он*отправил вам посылку ещё раз,*— но*уже не*через Авито Доставку.;На страницу заказа
117;B2C;ПВЗ;Referee_is_here;Авито Доставка;Продавец отклонил заявку на*возврат заказа. Мы*проверим, что случилось;Продавец отклонил заявку на*возврат заказа;Мы*проверим, что случилось;Продавец не*принял возврат заказа;Мы проверим, что*случилось. Если с*товаром всё хорошо, вы сможете отправить его продавцу. В этом случае рассрочка отменится, и*вам вернутся все платежи, которые успеете внести.;На страницу заказа
118;B2C;ПВЗ;Seller_refuses_to_pay_denied;Авито Доставка;Продавец не*вернул деньги вовремя*😔 Посмотрите, как получить компенсацию;Продавец не*вернул деньги вовремя;Посмотрите, как получить компенсацию;К сожалению, продавец* не*вернул деньги вовремя*😔;Вы*можете получить компенсацию от*Авито. Откройте страницу заказа и*заполните заявление.;На страницу заказа
119;B2C;ПВЗ;Seller_refuses_to_pay_denied_2;Авито Доставка;Возврат одобрен — рассрочка автоматически отменилась;Заказ закрыт;Рассрочка отменилась;Заказ закрыт;📦 Продавец не*успел выбрать пункт выдачи*— вернуть посылку через Авито Доставку не*получится, но*вы*можете договориться об*отправке другим способом.\n\nРассрочка автоматически отменилась. Вам вернутся все платежи, которые успели внести. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
120;B2C;ПВЗ;Accepted_after_dispute;Авито Доставка;К сожалению, с*товаром что то случилось после получения*— вернуть его продавцу не*выйдет;Заказ закрыт;К сожалению, вернуть его продавцу не*выйдет;Заказ закрыт;К сожалению, с*заказом что то случилось после получения*— вернуть его продавцу не*выйдет.;На страницу заказа
121;B2C;Постаматы;Paid (Текст отличается от C2C);Авито Доставка;Спасибо, заказ в рассрочку оформлен — ждём, когда его подтвердят;Заказ в рассрочку оформлен;Ждём, когда продавец его подтвердит;Заказ в рассрочку оформлен;Ждём, когда продавец его подтвердит. Отслеживайте статус и*смотрите подробности о*заказе на*его странице.\n\nТуда*же вынесли все детали по*рассрочке, графику платежей и*погашению*— ознакомьтесь с*ними.;На страницу заказа
122;B2C;Постаматы;Assembled (Уникальный для B2C статус);Авито Доставка;Заказ в*рассрочку собран*— его отправят до*28*ноября;Заказ в*рассрочку собран;Его скоро отправят;Заказ в*рассрочку собран;Его отправят до*28*ноября. Отслеживайте статус доставки и*смотрите подробности о*заказе на*его странице.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— также на*странице заказа.;На страницу заказа
123;B2C;Постаматы;Confirmed;Авито Доставка;Заказ в рассрочку подтверждён. Примерный срок доставки*— до*1*июня;Заказ в рассрочку подтверждён;Примерный срок доставки*— до*1*июня;Заказ подтверждён;Он приедет в*пункт 5Post: Москва, улица Ленина, 1 (БЦ Алёнушка).\n\nПримерный срок доставки*— до*1*июня.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
124;B2C;Постаматы;Performed;Авито Доставка;Заказ в*рассрочку в*пути. Примерный срок доставки*— до*20*мая;Заказ в пути;Его доставят до*20*мая;Заказ в*пути;Примерный срок доставки*— до*20*мая. Вы можете отследить посылку на*fivepost.ru.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
125;B2C;Постаматы;Provided / Delivered;Авито Доставка;Заказ в*рассрочку доставили*— заберите его в*постамате;Заказ доставили;Заберите его до*1*июня;Заберите заказ до*1*июня включительно;Код получения придёт на*+7 XXX XX-XX-XX, почту и*в*Viber. Адрес пункта, правила проверки товаров и*другие подробности можно посмотреть на*странице заказа.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
126;B2C;Постаматы;Accepted (Текст отличается от C2C);Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Заказ завершён. Напишите,*как всё прошло,*— оставьте продавцу отзыв.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
127;B2C;Постаматы;Received (Текст отличается от C2C);Авито Доставка;Проверьте заказ. Покупку можно проверить и вернуть до*5*декабря;Проверьте заказ;Покупку можно проверить и вернуть до*5*декабря;Проверьте заказ;Если всё хорошо, подтвердите покупку на странице заказа. Если что то будет не*так, верните его до*5*декабря включительно. Главное*— сохранить изначальный вид покупки.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
128;B2C;Постаматы;Canceled;Авито Доставка;Вы*отменили заказ*— вместе с*ним отменилась рассрочка;Вы*отменили заказ;Рассрочка отменилась вместе с*ним;Вы*отменили заказ;Рассрочка тоже автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
129;B2C;Постаматы;Voided;Авито Доставка;Продавец*отменил заказ*— рассрочка тоже автоматически отменилась;Продавец отменил заказ;Рассрочка отменилась вместе с*заказом;Продавец отменил заказ;Возможно, товар закончился или возникли проблемы с доставкой. Попробуйте уточнить причину у*продавца или*подыскать похожее предложение.\n\nРассрочка автоматически отменилась. Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
130;B2C;Постаматы;Unperformed / Rejected (Текст отличается от C2C);Авито Доставка;Заказ не*подтверждён: сейчас товара нет в*наличии. Рассрочка отменилась;Заказ не подтвердили;Сейчас товара нет в*наличии;Заказ не*подтвердили: товара нет в*наличии;Рассрочка автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
131;B2C;Постаматы;Return_performed;Авито Доставка;Вы*отказались от*заказа*— рассрочка автоматически отменилась;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён: вы*не забрали посылку;Рассрочка автоматически отменилась.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
132;B2C;Постаматы;Order_delivery_date_changed;Авито Доставка;Срок доставки изменился. Посылку привезут до*7 июня;Срок доставки изменился;Посылку привезут до*7*июня;Срок доставки изменился;Заказ привезут до*20*мая. Вы можете отследить его на*fivepost.ru.;На страницу заказа
