id;segment;delivery_type;logistic_status;push_title;push_subtitle;email_subject;email_snippet;email_title;email_body;email_button
15;C2C;ПВЗ;Canceled_by_mo;Авито Доставка;Заказ отменён* из-за технического сбоя — вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён;Случился технический сбой. Простите, что так вышло 🙏\n\nРассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
16;C2C;ПВЗ;Canceled_by_stocks;Авито Доставка;Заказ пришлось отменить: другой покупатель оформил доставку чуть раньше. Рассрочка тоже отменилась;Заказ пришлось отменить;Рассрочка отменилась вместе с*ним;Заказ пришлось отменить: товар закончился*😔;Рассрочка тоже автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
17;C2C;ПВЗ;Canceled_by_delivery;Авито Доставка;Не*удалось создать заказ. Попробуйте выбрать другую службу доставки. Рассрочка автоматически отменилась;Заказ пришлось отменить;Рассрочка отменилась вместе с*ним;Не*удалось создать заказ;Попробуйте оформить его ещё раз и*выбрать пункт выдачи другой службы доставки.\n\nРассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
18;C2C;ПВЗ;Canceled_by_refund;Авито Доставка;Заказ отменён*— вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён: простите, что так вышло*🙏;Рассрочка тоже автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
19;C2C;ПВЗ;Dispute;Авито Доставка;Продавец рассмотрит заявку на возврат до*14*ноября включительно;Продавец рассмотрит заявку на возврат;Он должен сделать это до*14*ноября включительно;Продавец рассмотрит заявку на*возврат;Если он не*ответит до*14*ноября включительно, заявка отправится поддержке. Будем держать вас в*курсе.;На страницу заказа
20;C2C;ПВЗ;Return placed;Авито Доставка;Отправьте заказ продавцу*📦 Посмотрите, куда отнести посылку;Отправьте заказ продавцу;Посмотрите, куда его отнести;Отправьте заказ продавцу;Отнесите товар в отделение «Почты России», покажите оригинал паспорта и*назовите номер: 12544551800504.\n\nВы можете сделать это до*31 сентября включительно. Потом заказ закроется*— вернуть его уже не*получится.;На страницу заказа
21;C2C;ПВЗ;Reminder — 2;Авито Доставка;Не забудьте отправить покупку продавцу. 1*октября заказ закроется*— вернуть его уже не*получится;Не забудьте отправить покупку продавцу;1*октября заказ закроется*— вернуть его уже не*получится;Не забудьте отправить покупку продавцу;1*октября заказ закроется*— вернуть его уже не*получится.;На страницу заказа
22;C2C;ПВЗ;Return performed — 2;Авито Доставка;Заказ в*пути. Примерный срок доставки*— до*20 мая;Заказ в*пути;Примерный срок доставки*— до*20*мая;Вы отправили заказ обратно;Примерный срок доставки*— до*20*мая. Когда продавец всё проверит, рассрочка отменится, и вам вернутся все платежи, которые успеете внести.;На страницу заказа
23;C2C;ПВЗ;Returned — 2;Авито Доставка;Продавец принял возврат, заказ закрыт;Заказ закрыт;Рассрочка отменилась;Заказ закрыт;Рассрочка автоматически отменилась. Вам вернутся все платежи, которые успели внести. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
24;C2C;ПВЗ;Return_dispute;Авито Доставка;Продавец не*принял возврат заказа. Мы*проверим, что случилось;Продавец не*принял возврат заказа;Мы*проверим, что случилось;Продавец не*принял возврат заказа;Мы*проверим, что случилось. Если понадобятся детали, напишем вам в*чате или позвоним.;На страницу заказа
